SampleID,Age,Kit,Duration
730,mo18,Millipore,Long
731,mo18,Millipore,Long
733,mo24,Millipore,Long
734,mo4,Millipore,Long
735,mo4,Millipore,Long
736,mo18,Millipore,Short
737,mo18,Millipore,Short
738,mo24,Millipore,Short
739,mo24,Millipore,Short
740,mo4,Millipore,Short
741,mo4,Millipore,Short
718,mo18,Qiagen,Long
719,mo18,Qiagen,Long
721,mo24,Qiagen,Long
722,mo4,Qiagen,Long
723,mo4,Qiagen,Long
724,mo18,Qiagen,Short
725,mo18,Qiagen,Short
726,mo24,Qiagen,Short
728,mo4,Qiagen,Short
729,mo4,Qiagen,Short
